group_set,group_value,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,efg_pct,blka,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,efg_pct_rank,blka_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,cfid,cfparams,na,time
Shot Type,Driving Finger Roll Layup Shot,40,63,0.635,0,0,0,0.635,7,0.2,0.8,0,0,0.2,0.8,5,5,18,6,8,6,19,40,18,19,6,6,21,17,174,Driving Finger Roll Layup Shot,NA,Af
Shot Type,Driving Floating Bank Jump Shot,8,12,0.667,0,0,0,0.667,0,0,1,0,0,0,1,17,17,16,6,8,6,17,1,21,1,6,6,24,1,174,Driving Floating Bank Jump Shot,NA,Af
Shot Type,Driving Floating Jump Shot,26,62,0.419,0,0,0,0.419,4,0.423,0.577,0,0,0.423,0.577,6,6,28,6,8,6,31,37,15,22,6,6,16,22,174,Driving Floating Jump Shot,NA,Af
Shot Type,Driving Hook Shot,1,1,1,0,0,0,1,0,0,1,0,0,0,1,29,34,1,6,8,6,1,1,21,1,6,6,24,1,174,Driving Hook Shot,NA,Af
Shot Type,Driving Layup Shot,99,185,0.535,0,0,0,0.535,34,0.343,0.657,0,0,0.343,0.657,2,2,21,6,8,6,24,43,16,21,6,6,18,20,174,Driving Layup Shot,NA,Af
Shot Type,Driving Reverse Layup Shot,18,33,0.545,0,0,0,0.545,2,0.222,0.778,0,0,0.222,0.778,9,9,19,6,8,6,22,34,17,20,6,6,20,18,174,Driving Reverse Layup Shot,NA,Af
Shot Type,Dunk Shot,5,5,1,0,0,0,1,0,1,0,0,0,1,0,21,26,1,6,8,6,1,1,1,28,6,6,1,29,174,Dunk Shot,NA,Af
Shot Type,Fadeaway Jump Shot,5,11,0.455,0,1,0,0.455,0,0,1,0,0,0,1,21,18,26,6,6,6,30,1,21,1,6,6,24,1,174,Fadeaway Jump Shot,NA,Af
Shot Type,Finger Roll Layup Shot,1,1,1,0,0,0,1,0,1,0,0,0,1,0,29,34,1,6,8,6,1,1,1,28,6,6,1,29,174,Finger Roll Layup Shot,NA,Af
Shot Type,Floating Jump shot,2,6,0.333,0,0,0,0.333,1,0,1,0,0,0,1,25,23,33,6,8,6,33,30,21,1,6,6,24,1,174,Floating Jump shot,NA,Af
Shot Type,Hook Bank Shot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,39,38,6,8,6,38,1,21,28,6,6,24,29,174,Hook Bank Shot,NA,Af
Shot Type,Hook Shot,1,2,0.5,0,0,0,0.5,0,0,1,0,0,0,1,29,31,22,6,8,6,26,1,21,1,6,6,24,1,174,Hook Shot,NA,Af
Shot Type,Jump Bank Shot,1,2,0.5,0,0,0,0.5,0,0,1,0,0,0,1,29,31,22,6,8,6,26,1,21,1,6,6,24,1,174,Jump Bank Shot,NA,Af
Shot Type,Jump Shot,201,593,0.339,198,582,0.34,0.506,10,0.667,0.333,0.929,0.071,0.925,0.075,1,1,32,1,1,4,25,42,10,27,1,5,10,28,174,Jump Shot,NA,Af
Shot Type,Layup Shot,16,45,0.356,0,0,0,0.356,8,0.438,0.563,0,0,0.438,0.563,12,7,31,6,8,6,32,41,13,23,6,6,14,23,174,Layup Shot,NA,Af
Shot Type,Pullup Jump shot,43,110,0.391,15,39,0.385,0.459,0,0.143,0.857,0.733,0.267,0.349,0.651,4,4,29,3,3,2,29,1,19,18,3,3,17,21,174,Pullup Jump shot,NA,Af
Shot Type,Putback Dunk Shot,1,1,1,0,0,0,1,0,0,1,0,0,0,1,29,34,1,6,8,6,1,1,21,1,6,6,24,1,174,Putback Dunk Shot,NA,Af
Shot Type,Putback Layup Shot,7,8,0.875,0,0,0,0.875,1,0,1,0,0,0,1,19,21,10,6,8,6,10,30,21,1,6,6,24,1,174,Putback Layup Shot,NA,Af
Shot Type,Reverse Layup Shot,7,13,0.538,0,0,0,0.538,0,1,0,0,0,1,0,19,16,20,6,8,6,23,1,1,28,6,6,1,29,174,Reverse Layup Shot,NA,Af
Shot Type,Running Alley Oop Dunk Shot,1,1,1,0,0,0,1,0,1,0,0,0,1,0,29,34,1,6,8,6,1,1,1,28,6,6,1,29,174,Running Alley Oop Dunk Shot,NA,Af
Shot Type,Running Dunk Shot,16,19,0.842,0,0,0,0.842,2,0.438,0.563,0,0,0.438,0.563,12,13,12,6,8,6,12,34,13,23,6,6,14,23,174,Running Dunk Shot,NA,Af
Shot Type,Running Finger Roll Layup Shot,17,24,0.708,0,0,0,0.708,1,0.118,0.882,0,0,0.118,0.882,10,11,14,6,8,6,15,30,20,17,6,6,22,16,174,Running Finger Roll Layup Shot,NA,Af
Shot Type,Running Jump Shot,8,16,0.5,8,16,0.5,0.75,0,0,0,0.875,0.125,0.875,0.125,17,14,22,4,4,1,13,1,21,28,2,4,11,27,174,Running Jump Shot,NA,Af
Shot Type,Running Layup Shot,22,33,0.667,0,0,0,0.667,4,0.455,0.545,0,0,0.455,0.545,8,9,16,6,8,6,17,37,12,25,6,6,13,25,174,Running Layup Shot,NA,Af
Shot Type,Running Pull-Up Jump Shot,3,7,0.429,2,6,0.333,0.571,0,0,1,0.5,0.5,0.333,0.667,23,22,27,5,5,5,20,1,21,1,4,2,19,19,174,Running Pull-Up Jump Shot,NA,Af
